i slept.	நான் தூங்கினேன்.
calm down.	அமைதியாக இருங்கள்
i'll walk.	நான் நடப்பேன்.
who is he?	அவன் யார்?
who knows?	யாருக்குத் தெரியும்?
she smiled.	அவள் சிரித்தாள்
talk to me!	என்னிடம் பேசு
who is she?	அவள் யார்?
go to sleep.	போய் தூங்கு
it may rain.	மழை பெய்யலாம்
she bit him.	அவள் அவனைக் கடித்தாள்
she hit him.	அவள் அவனைக் அடித்தாள்
she is kind.	அவள் அன்பானவள்
she is eight.	அவளுக்கு எட்டு வயது
where are we?	நாம் எங்கே இருக்கிறோம்?
keep in touch!	தொடர்பில் இரு
see you again.	மறுபடியும் சந்திப்போம்
give it to her.	அவளிடம் கொடு
i ate too much.	நான் நிறைய சாப்பிட்டேன்
i'll see to it.	அதை நான் பார்க்கிறேன்
it's up to you.	உன் கையில்தான் இருக்கிறது
leave it to me.	என்னிடம் விட்டுவிடு
listen to this!	இதைக் கேள்
that's the way.	அந்த பக்கம்தான் வழி
come and see me.	என்னை வந்து பார்
don't lie to me.	என்னிடம் பொய் சொல்லாதே
he began to run.	அவன் ஓட ஆரம்பித்தான்
he just arrived.	அவன் இப்பொழுதுதான் வந்தான்
he likes to run.	அவன் ஓட விருப்பப் படுகிறான்
how is your dad?	தங்களுடைய தந்தையார் எப்படி இருக்கிறார்கள்?
i want to sleep.	நான் தூங்க விரும்புகிறேன்
i'm able to run.	என்னால் ஓட முடிகிறது
raise your hand.	கையைத் தூக்கு
what did he say?	அவன் என்ன சொன்னான்?
when can we eat?	எப்பொழுது நம்மால் சாப்பிட முடியும்
come and help us.	வா எங்களுக்கு உதவி செய்
he is still here.	அவன் இன்னும் இருக்கிறான்
i have to go now.	நான் இப்பொழுது போக வேண்டும்
i know that much.	எனக்கு அவ்வளவு தெரியும்.
i made a mistake.	நான் ஒரு தவறு செய்தேன்?
i walk to school.	நான் பள்ளிக்கு நடந்து செல்கிறேன்
that's our house.	அது எங்களுடைய வீடு
those are my cds.	அவைகள் என்னுடைய CD கள்
walk ahead of me.	எனக்கு முன்னால் நட
we'll follow you.	நாங்கள் உன்னைத் பின்பற்றுவோம் (அ) தொடர்வோம்.
beware of the dog!	நாய் ஜாக்கிரதை!
he came back soon.	அவன் சீக்கிரம் திரும்பி வந்தான்
he has three sons.	அவருக்கு மூன்று மகன்கள்
i know how to ski.	எப்படி பனியில் சறுக்கி விளையாடுவது என்பது எனக்கு தெரியும்
i know what to do.	என்ன செய்வது என்பது எனக்குத் தெரியும்
i'm kind of happy.	நான் ஒரு விதமான மகிழ்ச்சியிலிருக்கிறேன்
keep to the right.	வலது பக்கத்தை கடைப் பிடி
she began to sing.	அவள் பாட ஆரம்பித்தாள்
she decided to go.	அவள் போகத் தீர்மானித்தாள்
do i have to study?	நான் படிக்க வேண்டுமா?
he is sure to come.	அவன் வருவது நிச்சயம்
i had to walk home.	நான் வீட்டிற்கு நடக்க வேண்டியிருந்தது
i have to dress up.	நான் ஆடை அணிய வேண்டும்
i told him to come.	நான் அவனை வரச் சொன்னேன்
i'm short of money.	என்னிடம் பணம் குறைவாக இருக்கிறது
may i speak to you?	நான் உன்னிடம் பேசலாமா?
she gave it to him.	அவள் இதை அவனுக்குக் கொடுத்தாள்
she is kind to him.	அவள் அவனிடம் அன்பாக இருக்கிறாள்
she sat next to me.	அவள் எனக்கு அருகில் அமர்ந்தாள்
shut up and listen!	வாயை மூடி கவனி
tell me what to do.	நான் என்ன செய்ய வேண்டும் என்று சொல்
tom runs very fast.	டாம் ரொம்ப வேகமாக ஓடுகிறான்
we ran out of food.	எங்களுக்கு உணவு தட்டுப்பாடு ஏற்பட்டது
we started to walk.	நாங்கள் நடக்க ஆரம்பித்தோம்
when does it begin?	இது எப்பொழுது ஆரம்பிக்கிறது?
are you ready to go?	நீங்கள் போகத் தயாராக இருக்கிறீர்களா?
do you have any gum?	உன்னிடம் ஏதாவது பசை இருக்கிறதா?
does she play piano?	அவள் பியானோ வாசிக்கிறாளோ?
don't listen to her.	அவள் சொல்வதைக் கேட்காதீர்
go and wake mary up.	போய் மேரியை எழுப்பு
he seems to know us.	அவனுக்கு நம்மைப் தெரியும் என்று தோன்றுகிறது
i am engaged to her.	எனக்கு அவளோடு நிச்சயமாகியிருக்கு
i have to leave now.	நான் இப்பொழுது கிளம்ப வேண்டும்
i want to go abroad.	நான் வெளி நாட்டிற்குச் செல்ல விரும்புகிறேன்
i'm glad to see you.	உன்னைப் பார்ப்பதில் நான் மகிழ்ச்சி அடைகிறேன்
i'm proud of my son.	என் மகனைப் பற்றி பெருமைப் படுகிறேன்
i'm taller than you.	நான் உன்னை விட உயரமாக இருக்கிறேன்
i'm trying to sleep.	நான் தூங்குவதற்கு முயற்சி செய்து கொண்டிருக்கிறேன்
it's free of charge.	இதற்கு கட்டணமில்லை
it's time to get up.	தூக்கத்திலிருந்து எழுவதற்கான நேரம் இது
nobody speaks to me.	என் கூட யாரும் பேசுவதில்லை
roll the ball to me.	பந்தை என்னிடம் உருட்டி விடு
she boiled the eggs.	அவள் முட்டைகளை வேக வைத்தாள்
she danced with him.	அவள் அவனோடு நடனம் ஆடினாள்
she gave him a book.	அவள் அவனுக்கு ஒரு புத்தகத்தைக் கொடுத்தாள்
she has 2,000 books.	அவளிடம் 2000 புத்தகங்கள் உள்ளன
this apple is sweet.	இந்த ஆப்பிள் இனிப்பாக இருக்கிறது
we swam in the lake.	அவன் ஏரியில் நீச்சலடித்தான்
come home before six.	ஆறு மணிக்கு முன்பு வீட் டிற்கு வா
go and see who it is.	போய் யார் என்று பார்
i am afraid of bears.	எனக்குக் கரடிகளைக கண்டால் பயம்
i expect him to come.	அவன் வருவான் என எதிர் பார்க்கிறேன்
it's a piece of cake.	இது ஒரு கேக்கின் துண்டு
the boy began to cry.	அந்த பையன் அழ ஆரம்பித்தான்
you keep out of this.	நீ இதில் தலையிடாதே
all of us were silent.	நாங்கள் அனைவரும் அமைதியாக இருந்தோம்
be kind to old people.	வயோதிகர்களிடம் அன்பாக இரு
beware of pickpockets.	ஜேப்படிகாரர்களிடம் ஜாக்கிரதையாக இருக்கவும்
don't drink and drive.	குடித்துவிட்டு வண்டி ஓட்டாதே
he can read and write.	அவனுக்கு எழுதப் படிக்கத் தெரியும்
he got a lot of money.	அவனுக்கு நிறைய பணம் கிடைத்தது
he has a lot of money.	அவனிடம் நிறைய பணமிருக்கிறது
he is afraid of death.	அவனுக்கு இறந்து போவதென்றால் பயம்
he let go of the rope.	அவன் கயிற்றை விட்டான்
i am tired of my work.	நான் வேலை பளுவினால் சோர்வாகயிருக்கிறேன்
i got out of the taxi.	நான் டாக்ஸியிலிருந்து இறங்கினேன்
none of your business.	இது உங்களுக்கு சம்பந்தமில்லாத விஷயம்
they made fun of mary.	அவர்கள் மேரியை கிண்டலடித்தார்கள்
tom and i are friends.	டாமும் நானும் நண்பர்கள்
when is your birthday?	உங்கள் பிறந்த நாள் எப்போது ?
all of them went there.	அவர்கள் எல்லோரும் அங்கே சென்றார்கள்
can you ride a bicycle?	உங்களுக்கு சைக்கிள் ஓட்டத் தெரியுமா?
do you want to be rich?	நீ பணக்காரராக விருப்பமா?
he is afraid of snakes.	அவர்களுக்கு பாம்புகள் என்றால் பயம்
he is fond of swimming.	அவனுக்கு நீச்சல் மீது பற்று உண்டு
he went in place of me.	அவன் எனக்குப் பதிலாக சேன்றான்
he's afraid of the sea.	அவனுக்குக் கடல் என்றால் பயம்
i'll leave that to you.	நான் அதை உன்னிடம் விட்டு விடுகிறேன்
